"","Country.Region","Total.Death"
"1","Afghanistan",7683
"2","Albania",3496
"3","Algeria",6875
"4","Andorra",153
"5","Angola",1900
"6","Antarctica",0
"7","Antigua & Barbuda",136
"8","Argentina",128653
"9","Armenia",8622
"10","Australia",7310
"11","Austria",18170
"12","Azerbaijan",9709
"13","Bahamas",798
"14","Bahrain",1476
"15","Bangladesh",29127
"16","Barbados",398
"17","Belarus",6947
"18","Belgium",31494
"19","Belize",676
"20","Benin",163
"21","Bhutan",21
"22","Bolivia",21923
"23","Bosnia",15765
"24","Botswana",2688
"25","Brazil",663838
"26","Brunei",218
"27","Bulgaria",36920
"28","Burkina Faso",383
"29","Myanmar",19434
"30","Burundi",38
"31","Cape Verde",401
"32","Cambodia",3056
"33","Cameroon",1927
"34","Canada",39338
"35","Central African Republic",113
"36","Chad",193
"37","Chile",57541
"38","China",14430
"39","Colombia",139797
"40","Comoros",160
"41","Congo - Brazzaville",385
"42","Congo - Kinshasa",1337
"43","Costa Rica",8405
"44","Côte d’Ivoire",799
"45","Croatia",15843
"46","Cuba",8527
"47","Cyprus",1020
"48","Czechia",40175
"49","Denmark",6232
"50","Japan",13
"51","Djibouti",189
"52","Dominica",63
"53","Dominican Republic",4376
"54","Ecuador",35598
"55","Egypt",24613
"56","El Salvador",4128
"57","Equatorial Guinea",183
"58","Eritrea",103
"59","Estonia",2539
"60","Eswatini",1397
"61","Ethiopia",7510
"62","Fiji",862
"63","Finland",3939
"64","France",147179
"65","Gabon",304
"66","Gambia",365
"67","Georgia",16811
"68","Germany",135701
"69","Ghana",1445
"70","Greece",29205
"71","Grenada",220
"72","Guatemala",17613
"73","Guinea",442
"74","Guinea-Bissau",171
"75","Guyana",1228
"76","Haiti",835
"77","Vatican City",0
"78","Honduras",10893
"79","Hungary",46266
"80","Iceland",119
"81","India",523889
"82","Indonesia",156287
"83","Iran",141114
"84","Iraq",25211
"85","Ireland",7087
"86","Israel",10697
"87","Italy",163736
"88","Jamaica",2967
"89","Japan",29631
"90","Jordan",14064
"91","Kazakhstan",19013
"92","Kenya",5649
"93","Kiribati",13
"94","South Korea",23007
"95","Kosovo",3138
"96","Kuwait",2555
"97","Kyrgyzstan",2991
"98","Laos",744
"99","Latvia",5770
"100","Lebanon",10387
"101","Lesotho",697
"102","Liberia",294
"103","Libya",6430
"104","Liechtenstein",84
"105","Lithuania",9105
"106","Luxembourg",1068
"107","Madagascar",1391
"108","Malawi",2634
"109","Malaysia",35555
"110","Maldives",298
"111","Mali",732
"112","Malta",700
"113","Marshall Islands",0
"114","Mauritania",982
"115","Mauritius",992
"116","Mexico",324350
"117","Moldova",11489
"118","Monaco",57
"119","Mongolia",2179
"120","Montenegro",2715
"121","Morocco",16069
"122","Mozambique",2201
"123","Netherlands",2
"124","Namibia",4025
"125","Nepal",11951
"126","Netherlands",22883
"127","New Zealand",732
"128","Nicaragua",234
"129","Niger",309
"130","Nigeria",3143
"131","North Macedonia",9280
"132","Norway",2932
"133","Oman",4258
"134","Pakistan",30369
"135","Palau",6
"136","Panama",8185
"137","Papua New Guinea",650
"138","Paraguay",18870
"139","Peru",212865
"140","Philippines",60410
"141","Poland",116059
"142","Portugal",22280
"143","Qatar",677
"144","Romania",65496
"145","Russia",368595
"146","Rwanda",1459
"147","St. Kitts & Nevis",43
"148","St. Lucia",368
"149","St. Vincent & Grenadines",106
"150","Samoa",19
"151","San Marino",115
"152","São Tomé & Príncipe",73
"153","Saudi Arabia",9093
"154","Senegal",1966
"155","Serbia",16002
"156","Seychelles",166
"157","Sierra Leone",125
"158","Singapore",1338
"159","Slovakia",19879
"160","Slovenia",6595
"161","Solomon Islands",141
"162","Somalia",1361
"163","South Africa",100370
"164","South Sudan",138
"165","Spain",104456
"166","Sri Lanka",16505
"167","Sudan",4931
"168","Suriname",1328
"169","Sweden",18772
"170","Switzerland",13714
"171","Syria",3150
"172","Taiwan",868
"173","Tajikistan",125
"174","Tanzania",803
"175","Thailand",28778
"176","Timor-Leste",130
"177","Togo",273
"178","Tonga",11
"179","Trinidad & Tobago",3833
"180","Tunisia",28550
"181","Turkey",98791
"182","Uganda",3597
"183","Ukraine",112459
"184","United Arab Emirates",2302
"185","UK",175552
"186","Uruguay",7203
"187","US",993999
"188","Uzbekistan",1637
"189","Vanuatu",13
"190","Venezuela",5709
"191","Vietnam",43044
"192","Palestine",5657
"193","Yemen",2149
"194","Zambia",3976
"195","Zimbabwe",5470
